state,district,ISI,RCS,ABS,mean_volume,cv,months_active,months_with_data,prop_5_17,prop_17_plus
Uttar Pradesh,Ambedkar Nagar,0.2377,1.0,0.9639,9691.111111111111,0.24362785805856005,9,9,0.6113276771382711,0.388672322861729
Uttar Pradesh,Amethi,0.2244,1.0,0.9572,10363.444444444445,0.20945706061474745,9,9,0.621222030427464,0.37877796957253596
Uttar Pradesh,Amroha,0.2398,1.0,0.8809,10296.888888888889,0.2369677265413379,9,9,0.7003409875690608,0.29965901243093923
Uttar Pradesh,Auraiya,0.2405,1.0,0.8924,7020.111111111111,0.2936316033087338,9,9,0.6906823253826309,0.30931767461736914
Uttar Pradesh,Auraiya *,0.0,0.1111,0.0,1.0,0.0,1,1,1.0,0.0
Uttar Pradesh,Ayodhya,0.2078,1.0,0.9997,821.2222222222222,0.3426134367796024,9,9,0.4893789744283588,0.5106210255716412
Uttar Pradesh,Azamgarh,0.3307,1.0,0.9929,19266.444444444445,0.24092075462460333,9,9,0.5496949215100521,0.450305078489948
Uttar Pradesh,Baghpat,0.188,1.0,0.9338,6447.666666666667,0.21323529205991548,9,9,0.6502955418842303,0.3497044581157697
Uttar Pradesh,Bagpat,0.4122,0.4444,0.8113,2.0,0.7071067811865476,4,4,0.25,0.75
Uttar Pradesh,Bahraich,0.3669,1.0,0.8496,20119.777777777777,0.28861643648146196,9,9,0.7242679950076762,0.27573200499232375
Uttar Pradesh,Ballia,0.2711,1.0,0.9792,14778.333333333334,0.21467485756718674,9,9,0.5846096011428141,0.4153903988571858
Uttar Pradesh,Balrampur,0.2761,1.0,0.9319,11345.777777777777,0.28140879224547344,9,9,0.6524502507051081,0.3475497492948919
Uttar Pradesh,Banda,0.2784,1.0,0.9496,10276.777777777777,0.3035045060855079,9,9,0.6313695386578153,0.36863046134218463
Uttar Pradesh,Bara Banki,0.3134,1.0,0.8903,18360.222222222223,0.22656069954892377,9,9,0.6924571234916063,0.30754287650839374
Uttar Pradesh,Barabanki,0.2611,1.0,0.6947,469.3333333333333,0.4399496807212125,9,9,0.18678977272727273,0.8132102272727273
Uttar Pradesh,Bareilly,0.395,1.0,0.8705,26089.777777777777,0.23557419741164828,9,9,0.7086513236346291,0.2913486763653709
Uttar Pradesh,Basti,0.2642,1.0,0.9473,12133.444444444445,0.24763057241886083,9,9,0.6343531652640544,0.3656468347359456
Uttar Pradesh,Bhadohi,0.1384,1.0,0.9917,726.6666666666666,0.22515460558123884,9,9,0.5536697247706422,0.4463302752293578
Uttar Pradesh,Bijnor,0.3686,1.0,0.9257,24116.444444444445,0.22380333960869586,9,9,0.6590247318565479,0.34097526814345214
Uttar Pradesh,Budaun,0.2897,1.0,0.8808,12257.555555555555,0.2893878104904825,9,9,0.7004115375550681,0.2995884624449319
Uttar Pradesh,Bulandshahar,0.1315,0.4444,0.8517,55.0,0.22465155142849258,4,4,0.2772727272727273,0.7227272727272728
Uttar Pradesh,Bulandshahr,0.3325,1.0,0.8254,20092.444444444445,0.2299388936121198,9,9,0.7409031587329676,0.25909684126703236
Uttar Pradesh,Chandauli,0.275,1.0,0.9036,10060.444444444445,0.3013930060526446,9,9,0.680707722212405,0.319292277787595
Uttar Pradesh,Chandauli *,0.0,0.1111,0.0,1.0,0.0,1,1,0.0,1.0
Uttar Pradesh,Chitrakoot,0.1876,1.0,0.9072,6970.222222222223,0.20367556325879377,9,9,0.6774054708920487,0.3225945291079513
Uttar Pradesh,Deoria,0.3246,1.0,0.9863,15401.444444444445,0.29594706736674653,9,9,0.5687345342788915,0.4312654657211084
Uttar Pradesh,Etah,0.3131,1.0,0.8459,9714.333333333334,0.3726234348017304,9,9,0.726886959704446,0.2731130402955541
Uttar Pradesh,Etawah,0.2375,1.0,0.9334,8788.333333333334,0.25855418111839495,9,9,0.6506985270876794,0.3493014729123206
Uttar Pradesh,Faizabad,0.2601,1.0,0.8963,10546.222222222223,0.267579612546145,9,9,0.6873129925407729,0.3126870074592271
Uttar Pradesh,Farrukhabad,0.2468,1.0,0.861,8577.333333333334,0.2781630755781871,9,9,0.7158661070521789,0.28413389294782115
Uttar Pradesh,Fatehpur,0.3167,1.0,0.9679,13101.555555555555,0.3214293079011767,9,9,0.6050172159370388,0.39498278406296117
Uttar Pradesh,Firozabad,0.2891,1.0,0.8591,12640.777777777777,0.2817595694137781,9,9,0.717281812827973,0.282718187172027
Uttar Pradesh,Gautam Buddha Nagar,0.2449,1.0,0.993,9937.666666666666,0.25174409870623593,9,9,0.5491228658638849,0.45087713413611513
Uttar Pradesh,Gautam Buddha Nagar *,0.0,0.1111,0.0,2.0,0.0,1,1,0.0,1.0
Uttar Pradesh,Ghaziabad,0.3769,1.0,0.9957,21335.777777777777,0.28506576228690717,9,9,0.5384018497880452,0.4615981502119549
Uttar Pradesh,Ghazipur,0.2915,1.0,0.9533,16188.0,0.2257810056962521,9,9,0.6265203305603602,0.3734796694396398
Uttar Pradesh,Gonda,0.3208,1.0,0.9293,16897.222222222223,0.26399355078596143,9,9,0.6552227519316127,0.34477724806838733
Uttar Pradesh,Gorakhpur,0.3621,1.0,0.9946,19796.0,0.28585260986275735,9,9,0.4568038436496711,0.5431961563503289
Uttar Pradesh,Hamirpur,0.3199,1.0,0.9113,6076.333333333333,0.4458553598474779,9,9,0.6734873004553185,0.32651269954468154
Uttar Pradesh,Hapur,0.17,1.0,0.8893,6306.111111111111,0.18475246518474858,9,9,0.6933133644612809,0.30668663553871905
Uttar Pradesh,Hardoi,0.3579,1.0,0.8354,22788.555555555555,0.22788491363269503,9,9,0.7341745613051386,0.26582543869486147
Uttar Pradesh,Hathras,0.266,1.0,0.8125,8933.777777777777,0.3050389422114811,9,9,0.7492288940848714,0.2507711059151286
Uttar Pradesh,Jalaun,0.2411,1.0,0.9538,8298.0,0.27302867202315784,9,9,0.6259071797755817,0.3740928202244182
Uttar Pradesh,Jaunpur,0.3337,1.0,0.9731,20342.222222222223,0.22776946774449572,9,9,0.5961765348481538,0.4038234651518462
Uttar Pradesh,Jhansi,0.2724,1.0,0.9654,12445.0,0.25647398952844197,9,9,0.6089995982322218,0.3910004017677782
Uttar Pradesh,Jyotiba Phule Nagar,0.2371,0.4444,0.5089,44.25,0.4060990330103168,4,4,0.11299435028248588,0.8870056497175142
Uttar Pradesh,Kannauj,0.1939,1.0,0.8887,7961.444444444444,0.1978030921686733,9,9,0.6938299861834117,0.30617001381658826
Uttar Pradesh,Kanpur Dehat,0.2428,1.0,0.8685,8402.888888888889,0.2741872863124107,9,9,0.7101790389548568,0.2898209610451432
Uttar Pradesh,Kanpur Nagar,0.3157,1.0,0.9996,20159.777777777777,0.2000382089370863,9,9,0.5115962477540538,0.4884037522459463
Uttar Pradesh,Kasganj,0.2484,1.0,0.899,8279.888888888889,0.28594837465739253,9,9,0.684912572632483,0.315087427367517
Uttar Pradesh,Kaushambi,0.2662,1.0,0.7939,10843.888888888889,0.2730172023902255,9,9,0.7607049541472412,0.23929504585275885
Uttar Pradesh,Kheri,0.4021,1.0,0.8346,21118.11111111111,0.3319860595391516,9,9,0.7346932332963281,0.2653067667036719
Uttar Pradesh,Kushinagar,0.3638,1.0,0.9927,16425.11111111111,0.34590185770899307,9,9,0.5501332647842734,0.4498667352157266
Uttar Pradesh,Kushinagar *,0.3776,0.5556,0.9999,15.8,0.6476140375841257,5,5,0.4936708860759494,0.5063291139240507
Uttar Pradesh,Lalitpur,0.297,1.0,0.9722,8391.111111111111,0.36737420704529544,9,9,0.5979078389830509,0.40209216101694917
Uttar Pradesh,Lucknow,0.3843,1.0,0.986,24154.444444444445,0.2501099272622072,9,9,0.5696582179493077,0.4303417820506923
Uttar Pradesh,Maharajganj,0.298,1.0,0.9855,11455.666666666666,0.3172281749301864,9,9,0.5708480034141279,0.4291519965858721
Uttar Pradesh,Mahoba,0.231,1.0,0.912,5148.777777777777,0.3090497562786605,9,9,0.672824186969939,0.32717581303006105
Uttar Pradesh,Mahoba *,0.0,0.1111,0.0,1.0,0.0,1,1,0.0,1.0
Uttar Pradesh,Mahrajganj,0.3602,0.4444,0.9896,6.25,0.6179536120670116,4,4,0.44,0.56
Uttar Pradesh,Mainpuri,0.2515,1.0,0.9392,8199.0,0.2925344292304814,9,9,0.6441571465354854,0.35584285346451466
Uttar Pradesh,Mathura,0.2582,1.0,0.9151,13268.555555555555,0.21812991940441703,9,9,0.6698627498597353,0.3301372501402648
Uttar Pradesh,Mau,0.2167,1.0,0.9967,9762.333333333334,0.20637571684175884,9,9,0.5339229009458122,0.46607709905418787
Uttar Pradesh,Meerut,0.3184,1.0,0.9514,19294.666666666668,0.2192412580420895,9,9,0.6290569645037201,0.37094303549627994
Uttar Pradesh,Mirzapur,0.252,1.0,0.9006,12021.333333333334,0.22861014644042865,9,9,0.6834146702159124,0.31658532978408754
Uttar Pradesh,Moradabad,0.3391,1.0,0.9475,17830.444444444445,0.2796305648590983,9,9,0.6341151837680871,0.36588481623191293
Uttar Pradesh,Muzaffarnagar,0.3783,1.0,0.9153,18872.333333333332,0.329320419502788,9,9,0.6696339733060153,0.33036602669398474
Uttar Pradesh,Pilibhit,0.298,1.0,0.8847,15070.0,0.2558677610009968,9,9,0.6971908869719089,0.3028091130280911
Uttar Pradesh,Pratapgarh,0.2733,1.0,0.9724,14662.222222222223,0.22036162087570665,9,9,0.5975674446802062,0.4024325553197939
Uttar Pradesh,Prayagraj,0.1957,1.0,0.9976,2247.0,0.29773770765055063,9,9,0.5289027345102112,0.47109726548978886
Uttar Pradesh,Rae Bareli,0.2555,1.0,0.9365,14304.222222222223,0.19601380090718704,9,9,0.6472836303189423,0.35271636968105763
Uttar Pradesh,Raebareli,0.248,0.4444,0.9183,2.25,0.42552315900281695,4,4,0.3333333333333333,0.6666666666666666
Uttar Pradesh,Rampur,0.285,1.0,0.9178,13882.444444444445,0.2537020297802405,9,9,0.6671335499671848,0.33286645003281523
Uttar Pradesh,Saharanpur,0.3236,1.0,0.97,21190.666666666668,0.19612150364429526,9,9,0.6016380377105225,0.39836196228947757
Uttar Pradesh,Sambhal,0.2613,1.0,0.7986,11483.0,0.25372090700421507,9,9,0.7578642824658675,0.24213571753413257
Uttar Pradesh,Sant Kabir Nagar,0.2733,1.0,0.9747,10060.0,0.2984920103251946,9,9,0.5934283189750387,0.40657168102496133
Uttar Pradesh,Sant Ravidas Nagar,0.1959,1.0,0.928,7563.666666666667,0.2079317090075218,9,9,0.6566627003364036,0.34333729966359644
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,0.2181,0.4444,0.9847,27.5,0.3737974289723461,4,4,0.42727272727272725,0.5727272727272728
Uttar Pradesh,Shahjahanpur,0.3155,1.0,0.8224,17165.333333333332,0.25049174308669336,9,9,0.7428861788617886,0.2571138211382114
